Toll Date,Detection Group,CRZ Entries
2025-02-15,Williamsburg Bridge,40365
2025-02-16,Brooklyn Bridge,27035
2025-02-16,East 60th St,60390
2025-02-16,FDR Drive at 60th St,41353
2025-02-16,Holland Tunnel,37500
2025-02-16,Hugh L. Carey Tunnel,15082
2025-02-16,Lincoln Tunnel,36709
2025-02-16,Manhattan Bridge,23702
2025-02-16,Queens Midtown Tunnel,32578
2025-02-16,Queensboro Bridge,26664
2025-02-16,West 60th St,30672
2025-02-16,West Side Highway at 60th St,31154
2025-02-16,Williamsburg Bridge,39309
2025-02-17,Brooklyn Bridge,24520
2025-02-17,East 60th St,64472
2025-02-17,FDR Drive at 60th St,41609
2025-02-17,Holland Tunnel,39280
2025-02-17,Hugh L. Carey Tunnel,16207
2025-02-17,Lincoln Tunnel,38809
2025-02-17,Manhattan Bridge,23009
2025-02-17,Queens Midtown Tunnel,38627
2025-02-17,Queensboro Bridge,26889
2025-02-17,West 60th St,31566
2025-02-17,West Side Highway at 60th St,33468
2025-02-17,Williamsburg Bridge,36198
2025-02-18,Brooklyn Bridge,28549
2025-02-18,East 60th St,77595
2025-02-18,FDR Drive at 60th St,49671
2025-02-18,Holland Tunnel,39311
2025-02-18,Hugh L. Carey Tunnel,20835
2025-02-18,Lincoln Tunnel,43927
2025-02-18,Manhattan Bridge,26252
2025-02-18,Queens Midtown Tunnel,43370
2025-02-18,Queensboro Bridge,35280
2025-02-18,West 60th St,39115
2025-02-18,West Side Highway at 60th St,44121
2025-02-18,Williamsburg Bridge,38252
2025-02-19,Brooklyn Bridge,26995
2025-02-19,East 60th St,82067
2025-02-19,FDR Drive at 60th St,47297
2025-02-19,Holland Tunnel,38948
2025-02-19,Hugh L. Carey Tunnel,21310
2025-02-19,Lincoln Tunnel,42524
2025-02-19,Manhattan Bridge,30144
2025-02-19,Queens Midtown Tunnel,43186
2025-02-19,Queensboro Bridge,36748
2025-02-19,West 60th St,41888
2025-02-19,West Side Highway at 60th St,46148
2025-02-19,Williamsburg Bridge,35748
2025-02-20,Brooklyn Bridge,23723
2025-02-20,East 60th St,80532
2025-02-20,FDR Drive at 60th St,49149
2025-02-20,Holland Tunnel,38414
2025-02-20,Hugh L. Carey Tunnel,22701
2025-02-20,Lincoln Tunnel,44664
2025-02-20,Manhattan Bridge,35039
2025-02-20,Queens Midtown Tunnel,43534
2025-02-20,Queensboro Bridge,38039
2025-02-20,West 60th St,41494
2025-02-20,West Side Highway at 60th St,47205
2025-02-20,Williamsburg Bridge,40353
2025-02-21,Brooklyn Bridge,29149
2025-02-21,East 60th St,79896
2025-02-21,FDR Drive at 60th St,53866
2025-02-21,Holland Tunnel,40894
2025-02-21,Hugh L. Carey Tunnel,21347
2025-02-21,Lincoln Tunnel,43922
2025-02-21,Manhattan Bridge,29306
2025-02-21,Queens Midtown Tunnel,43342
2025-02-21,Queensboro Bridge,37468
2025-02-21,West 60th St,40533
2025-02-21,West Side Highway at 60th St,44992
2025-02-21,Williamsburg Bridge,41393
2025-02-22,Brooklyn Bridge,30438
2025-02-22,East 60th St,73894
2025-02-22,FDR Drive at 60th St,50621
2025-02-22,Holland Tunnel,42737
2025-02-22,Hugh L. Carey Tunnel,18473
2025-02-22,Lincoln Tunnel,45661
2025-02-22,Manhattan Bridge,29213
2025-02-22,Queens Midtown Tunnel,39796
2025-02-22,Queensboro Bridge,31607
2025-02-22,West 60th St,37540
2025-02-22,West Side Highway at 60th St,42738
2025-02-22,Williamsburg Bridge,42645
2025-02-23,Brooklyn Bridge,28795
2025-02-23,East 60th St,66912
2025-02-23,FDR Drive at 60th St,45869
2025-02-23,Holland Tunnel,41725
2025-02-23,Hugh L. Carey Tunnel,15246
2025-02-23,Lincoln Tunnel,42420
2025-02-23,Manhattan Bridge,26054
2025-02-23,Queens Midtown Tunnel,35855
2025-02-23,Queensboro Bridge,30164
2025-02-23,West 60th St,31743
2025-02-23,West Side Highway at 60th St,36325
2025-02-23,Williamsburg Bridge,41397
2025-02-24,Brooklyn Bridge,27133
2025-02-24,East 60th St,74684
2025-02-24,FDR Drive at 60th St,49377
2025-02-24,Holland Tunnel,37308
2025-02-24,Hugh L. Carey Tunnel,20835
2025-02-24,Lincoln Tunnel,41867
2025-02-24,Manhattan Bridge,26428
2025-02-24,Queens Midtown Tunnel,42853
2025-02-24,Queensboro Bridge,35319
2025-02-24,West 60th St,36841
2025-02-24,West Side Highway at 60th St,41048
2025-02-24,Williamsburg Bridge,37104
2025-02-25,Brooklyn Bridge,28066
2025-02-25,East 60th St,77997
2025-02-25,FDR Drive at 60th St,51900
2025-02-25,Holland Tunnel,37379
2025-02-25,Hugh L. Carey Tunnel,21784
2025-02-25,Lincoln Tunnel,42652
2025-02-25,Manhattan Bridge,27519
2025-02-25,Queens Midtown Tunnel,42457
2025-02-25,Queensboro Bridge,36364
2025-02-25,West 60th St,39764
2025-02-25,West Side Highway at 60th St,46384
2025-02-25,Williamsburg Bridge,39116
2025-02-26,Brooklyn Bridge,28615
2025-02-26,East 60th St,80587
2025-02-26,FDR Drive at 60th St,53240
2025-02-26,Holland Tunnel,39469
2025-02-26,Hugh L. Carey Tunnel,22474
2025-02-26,Lincoln Tunnel,45411
2025-02-26,Manhattan Bridge,28740
2025-02-26,Queens Midtown Tunnel,44706
2025-02-26,Queensboro Bridge,38129
2025-02-26,West 60th St,40289
2025-02-26,West Side Highway at 60th St,49260
2025-02-26,Williamsburg Bridge,39651
2025-02-27,Brooklyn Bridge,29785
2025-02-27,East 60th St,81144
2025-02-27,FDR Drive at 60th St,53973
2025-02-27,Holland Tunnel,40604
2025-02-27,Hugh L. Carey Tunnel,23448
2025-02-27,Lincoln Tunnel,46788
2025-02-27,Manhattan Bridge,30336
2025-02-27,Queens Midtown Tunnel,44587
2025-02-27,Queensboro Bridge,40215
2025-02-27,West 60th St,41616
2025-02-27,West Side Highway at 60th St,48867
2025-02-27,Williamsburg Bridge,40511
2025-02-28,Brooklyn Bridge,29105
2025-02-28,East 60th St,78493
2025-02-28,FDR Drive at 60th St,55900
2025-02-28,Holland Tunnel,40964
2025-02-28,Hugh L. Carey Tunnel,23223
2025-02-28,Lincoln Tunnel,45714
2025-02-28,Manhattan Bridge,30805
2025-02-28,Queens Midtown Tunnel,47740
2025-02-28,Queensboro Bridge,38494
2025-02-28,West 60th St,39157
2025-02-28,West Side Highway at 60th St,47643
2025-02-28,Williamsburg Bridge,41535
2025-03-01,Brooklyn Bridge,30557
2025-03-01,East 60th St,74465
2025-03-01,FDR Drive at 60th St,53450
2025-03-01,Holland Tunnel,42053
2025-03-01,Hugh L. Carey Tunnel,19255
2025-03-01,Lincoln Tunnel,44530
2025-03-01,Manhattan Bridge,29656
2025-03-01,Queens Midtown Tunnel,42738
2025-03-01,Queensboro Bridge,32047
2025-03-01,West 60th St,36815
2025-03-01,West Side Highway at 60th St,44860
2025-03-01,Williamsburg Bridge,42306
2025-03-02,Brooklyn Bridge,29110
2025-03-02,East 60th St,65865
2025-03-02,FDR Drive at 60th St,46897
2025-03-02,Holland Tunnel,40081
2025-03-02,Hugh L. Carey Tunnel,15168
2025-03-02,Lincoln Tunnel,40333
2025-03-02,Manhattan Bridge,26881
2025-03-02,Queens Midtown Tunnel,37248
2025-03-02,Queensboro Bridge,28581
2025-03-02,West 60th St,32411
2025-03-02,West Side Highway at 60th St,36549
2025-03-02,Williamsburg Bridge,41016
2025-03-03,Brooklyn Bridge,27102
2025-03-03,East 60th St,75629
2025-03-03,FDR Drive at 60th St,48556
2025-03-03,Holland Tunnel,37364
2025-03-03,Hugh L. Carey Tunnel,20709
2025-03-03,Lincoln Tunnel,42653
2025-03-03,Manhattan Bridge,25737
2025-03-03,Queens Midtown Tunnel,43954
2025-03-03,Queensboro Bridge,35271
2025-03-03,West 60th St,38228
2025-03-03,West Side Highway at 60th St,40634
2025-03-03,Williamsburg Bridge,37440
2025-03-04,Brooklyn Bridge,28798
2025-03-04,East 60th St,79789
2025-03-04,FDR Drive at 60th St,49698
2025-03-04,Holland Tunnel,37873
2025-03-04,Hugh L. Carey Tunnel,22262
2025-03-04,Lincoln Tunnel,43097
2025-03-04,Manhattan Bridge,28144
2025-03-04,Queens Midtown Tunnel,43631
2025-03-04,Queensboro Bridge,37330
2025-03-04,West 60th St,39964
2025-03-04,West Side Highway at 60th St,47225
2025-03-04,Williamsburg Bridge,38386
2025-03-05,Brooklyn Bridge,29070
2025-03-05,East 60th St,79988
2025-03-05,FDR Drive at 60th St,51418
2025-03-05,Holland Tunnel,38609
2025-03-05,Hugh L. Carey Tunnel,22454
2025-03-05,Lincoln Tunnel,44510
2025-03-05,Manhattan Bridge,28129
2025-03-05,Queens Midtown Tunnel,42912
2025-03-05,Queensboro Bridge,37625
2025-03-05,West 60th St,41245
2025-03-05,West Side Highway at 60th St,45682
2025-03-05,Williamsburg Bridge,38237
2025-03-06,Brooklyn Bridge,29632
2025-03-06,East 60th St,82388
2025-03-06,FDR Drive at 60th St,54224
2025-03-06,Holland Tunnel,40801
2025-03-06,Hugh L. Carey Tunnel,23448
2025-03-06,Lincoln Tunnel,46373
2025-03-06,Manhattan Bridge,30161
2025-03-06,Queens Midtown Tunnel,45113
2025-03-06,Queensboro Bridge,39543
2025-03-06,West 60th St,41702
2025-03-06,West Side Highway at 60th St,46448
2025-03-06,Williamsburg Bridge,41499
2025-03-07,Brooklyn Bridge,26479
2025-03-07,East 60th St,81370
2025-03-07,FDR Drive at 60th St,57028
2025-03-07,Holland Tunnel,41301
2025-03-07,Hugh L. Carey Tunnel,23507
2025-03-07,Lincoln Tunnel,45505
2025-03-07,Manhattan Bridge,32449
2025-03-07,Queens Midtown Tunnel,45434
2025-03-07,Queensboro Bridge,39551
2025-03-07,West 60th St,40409
2025-03-07,West Side Highway at 60th St,48397
2025-03-07,Williamsburg Bridge,42466
2025-03-08,Brooklyn Bridge,29547
2025-03-08,East 60th St,75911
2025-03-08,FDR Drive at 60th St,52775
2025-03-08,Holland Tunnel,40308
2025-03-08,Hugh L. Carey Tunnel,18906
2025-03-08,Lincoln Tunnel,44463
2025-03-08,Manhattan Bridge,30241
2025-03-08,Queens Midtown Tunnel,41579
2025-03-08,Queensboro Bridge,33309
2025-03-08,West 60th St,38449
2025-03-08,West Side Highway at 60th St,44614
2025-03-08,Williamsburg Bridge,42958
2025-03-09,Brooklyn Bridge,27672
2025-03-09,East 60th St,67154
2025-03-09,FDR Drive at 60th St,48103
2025-03-09,Holland Tunnel,38152
2025-03-09,Hugh L. Carey Tunnel,16053
2025-03-09,Lincoln Tunnel,41666
2025-03-09,Manhattan Bridge,27645
2025-03-09,Queens Midtown Tunnel,36392
2025-03-09,Queensboro Bridge,29039
2025-03-09,West 60th St,31698
2025-03-09,West Side Highway at 60th St,36827
2025-03-09,Williamsburg Bridge,41603
2025-03-10,Brooklyn Bridge,27478
2025-03-10,East 60th St,76603
2025-03-10,FDR Drive at 60th St,50723
2025-03-10,Holland Tunnel,35727
2025-03-10,Hugh L. Carey Tunnel,21748
2025-03-10,Lincoln Tunnel,44029
2025-03-10,Manhattan Bridge,25849
2025-03-10,Queens Midtown Tunnel,44166
2025-03-10,Queensboro Bridge,35409
2025-03-10,West 60th St,36921
2025-03-10,West Side Highway at 60th St,43916
2025-03-10,Williamsburg Bridge,38235
2025-03-11,Brooklyn Bridge,29532
2025-03-11,East 60th St,79039
2025-03-11,FDR Drive at 60th St,52151
2025-03-11,Holland Tunnel,37141
2025-03-11,Hugh L. Carey Tunnel,23411
2025-03-11,Lincoln Tunnel,45456
2025-03-11,Manhattan Bridge,27414
2025-03-11,Queens Midtown Tunnel,44098
2025-03-11,Queensboro Bridge,38062
2025-03-11,West 60th St,39743
2025-03-11,West Side Highway at 60th St,48242
2025-03-11,Williamsburg Bridge,39934
2025-03-12,Brooklyn Bridge,29973
2025-03-12,East 60th St,81326
2025-03-12,FDR Drive at 60th St,53966
2025-03-12,Holland Tunnel,39578
2025-03-12,Hugh L. Carey Tunnel,22887
2025-03-12,Lincoln Tunnel,46327
2025-03-12,Manhattan Bridge,29182
2025-03-12,Queens Midtown Tunnel,43973
2025-03-12,Queensboro Bridge,38914
2025-03-12,West 60th St,40871
2025-03-12,West Side Highway at 60th St,48307
2025-03-12,Williamsburg Bridge,40752
2025-03-13,Brooklyn Bridge,29962
2025-03-13,East 60th St,83012
2025-03-13,FDR Drive at 60th St,53059
2025-03-13,Holland Tunnel,41506
2025-03-13,Hugh L. Carey Tunnel,23020
2025-03-13,Lincoln Tunnel,47142
2025-03-13,Manhattan Bridge,29927
2025-03-13,Queens Midtown Tunnel,47128
2025-03-13,Queensboro Bridge,40259
2025-03-13,West 60th St,41481
2025-03-13,West Side Highway at 60th St,49422
2025-03-13,Williamsburg Bridge,42009
2025-03-14,Brooklyn Bridge,29763
2025-03-14,East 60th St,81028
2025-03-14,FDR Drive at 60th St,58234
2025-03-14,Holland Tunnel,41676
2025-03-14,Hugh L. Carey Tunnel,22381
2025-03-14,Lincoln Tunnel,45696
2025-03-14,Manhattan Bridge,31566
2025-03-14,Queens Midtown Tunnel,46453
2025-03-14,Queensboro Bridge,39606
2025-03-14,West 60th St,40003
2025-03-14,West Side Highway at 60th St,48276
2025-03-14,Williamsburg Bridge,42905
2025-03-15,Brooklyn Bridge,29006
2025-03-15,East 60th St,75530
2025-03-15,FDR Drive at 60th St,55224
2025-03-15,Holland Tunnel,44811
2025-03-15,Hugh L. Carey Tunnel,20207
2025-03-15,Lincoln Tunnel,46113
2025-03-15,Manhattan Bridge,31948
2025-03-15,Queens Midtown Tunnel,43983
2025-03-15,Queensboro Bridge,34879
2025-03-15,West 60th St,36299
2025-03-15,West Side Highway at 60th St,45267
2025-03-15,Williamsburg Bridge,42811
2025-03-16,Brooklyn Bridge,18457
2025-03-16,East 60th St,64924
2025-03-16,FDR Drive at 60th St,50516
2025-03-16,Holland Tunnel,40867
2025-03-16,Hugh L. Carey Tunnel,18057
2025-03-16,Lincoln Tunnel,42303
2025-03-16,Manhattan Bridge,28747
2025-03-16,Queens Midtown Tunnel,38176
2025-03-16,Queensboro Bridge,30114
2025-03-16,West 60th St,32527
2025-03-16,West Side Highway at 60th St,35392
2025-03-16,Williamsburg Bridge,43622
2025-03-17,Brooklyn Bridge,26517
2025-03-17,East 60th St,65856
2025-03-17,FDR Drive at 60th St,52278
2025-03-17,Holland Tunnel,37992
2025-03-17,Hugh L. Carey Tunnel,20999
2025-03-17,Lincoln Tunnel,42604
2025-03-17,Manhattan Bridge,25952
2025-03-17,Queens Midtown Tunnel,45523
2025-03-17,Queensboro Bridge,31936
2025-03-17,West 60th St,36996
2025-03-17,West Side Highway at 60th St,41023
2025-03-17,Williamsburg Bridge,38917
2025-03-18,Brooklyn Bridge,28704
2025-03-18,East 60th St,78449
2025-03-18,FDR Drive at 60th St,54689
2025-03-18,Holland Tunnel,39780
2025-03-18,Hugh L. Carey Tunnel,22733
2025-03-18,Lincoln Tunnel,45178
2025-03-18,Manhattan Bridge,28484
2025-03-18,Queens Midtown Tunnel,43849
2025-03-18,Queensboro Bridge,37510
2025-03-18,West 60th St,37845
2025-03-18,West Side Highway at 60th St,44515
2025-03-18,Williamsburg Bridge,39505
2025-03-19,Brooklyn Bridge,28787
2025-03-19,East 60th St,78447
2025-03-19,FDR Drive at 60th St,55091
2025-03-19,Holland Tunnel,40094
2025-03-19,Hugh L. Carey Tunnel,22578
2025-03-19,Lincoln Tunnel,45094
2025-03-19,Manhattan Bridge,29559
2025-03-19,Queens Midtown Tunnel,44355
2025-03-19,Queensboro Bridge,38936
2025-03-19,West 60th St,39376
2025-03-19,West Side Highway at 60th St,45894
2025-03-19,Williamsburg Bridge,40181
2025-03-20,Brooklyn Bridge,29643
2025-03-20,East 60th St,80928
2025-03-20,FDR Drive at 60th St,54290
2025-03-20,Holland Tunnel,41003
2025-03-20,Hugh L. Carey Tunnel,24030
2025-03-20,Lincoln Tunnel,47400
2025-03-20,Manhattan Bridge,30659
2025-03-20,Queens Midtown Tunnel,42433
2025-03-20,Queensboro Bridge,41694
2025-03-20,West 60th St,39932
2025-03-20,West Side Highway at 60th St,48362
2025-03-20,Williamsburg Bridge,41610
2025-03-21,Brooklyn Bridge,27998
2025-03-21,East 60th St,79623
2025-03-21,FDR Drive at 60th St,53240
2025-03-21,Holland Tunnel,42697
2025-03-21,Hugh L. Carey Tunnel,22659
2025-03-21,Lincoln Tunnel,46282
2025-03-21,Manhattan Bridge,30712
2025-03-21,Queens Midtown Tunnel,48049
2025-03-21,Queensboro Bridge,39565
2025-03-21,West 60th St,39155
2025-03-21,West Side Highway at 60th St,46160
2025-03-21,Williamsburg Bridge,42805
2025-03-22,Brooklyn Bridge,28408
2025-03-22,East 60th St,73255
2025-03-22,FDR Drive at 60th St,54262
2025-03-22,Holland Tunnel,44117
2025-03-22,Hugh L. Carey Tunnel,19313
2025-03-22,Lincoln Tunnel,46562
2025-03-22,Manhattan Bridge,32140
2025-03-22,Queens Midtown Tunnel,42431
2025-03-22,Queensboro Bridge,33990
2025-03-22,West 60th St,36416
2025-03-22,West Side Highway at 60th St,42172
2025-03-22,Williamsburg Bridge,43087
2025-03-23,Brooklyn Bridge,27138
2025-03-23,East 60th St,66282
2025-03-23,FDR Drive at 60th St,47070
2025-03-23,Holland Tunnel,42336
2025-03-23,Hugh L. Carey Tunnel,16382
2025-03-23,Lincoln Tunnel,46168
2025-03-23,Manhattan Bridge,26816
2025-03-23,Queens Midtown Tunnel,39985
2025-03-23,Queensboro Bridge,30554
2025-03-23,West 60th St,32137
2025-03-23,West Side Highway at 60th St,35851
2025-03-23,Williamsburg Bridge,40956
2025-03-24,Brooklyn Bridge,25632
2025-03-24,East 60th St,72638
2025-03-24,FDR Drive at 60th St,48605
2025-03-24,Holland Tunnel,37983
2025-03-24,Hugh L. Carey Tunnel,21067
2025-03-24,Lincoln Tunnel,44092
2025-03-24,Manhattan Bridge,26595
2025-03-24,Queens Midtown Tunnel,44941
2025-03-24,Queensboro Bridge,35537
2025-03-24,West 60th St,36172
2025-03-24,West Side Highway at 60th St,40821
2025-03-24,Williamsburg Bridge,37238
2025-03-25,Brooklyn Bridge,26745
2025-03-25,East 60th St,76843
2025-03-25,FDR Drive at 60th St,52032
2025-03-25,Holland Tunnel,39539
2025-03-25,Hugh L. Carey Tunnel,22156
2025-03-25,Lincoln Tunnel,45405
2025-03-25,Manhattan Bridge,27814
2025-03-25,Queens Midtown Tunnel,43730
2025-03-25,Queensboro Bridge,37242
2025-03-25,West 60th St,39034
2025-03-25,West Side Highway at 60th St,45550
2025-03-25,Williamsburg Bridge,39688
2025-03-26,Brooklyn Bridge,29234
2025-03-26,East 60th St,79808
2025-03-26,FDR Drive at 60th St,50653
2025-03-26,Holland Tunnel,40238
2025-03-26,Hugh L. Carey Tunnel,22616
2025-03-26,Lincoln Tunnel,45098
2025-03-26,Manhattan Bridge,27856
2025-03-26,Queens Midtown Tunnel,44408
2025-03-26,Queensboro Bridge,38188
2025-03-26,West 60th St,39851
2025-03-26,West Side Highway at 60th St,48299
2025-03-26,Williamsburg Bridge,39406
2025-03-27,Brooklyn Bridge,29857
2025-03-27,East 60th St,80712
2025-03-27,FDR Drive at 60th St,53608
2025-03-27,Holland Tunnel,42252
2025-03-27,Hugh L. Carey Tunnel,23565
2025-03-27,Lincoln Tunnel,48533
2025-03-27,Manhattan Bridge,28816
2025-03-27,Queens Midtown Tunnel,46024
2025-03-27,Queensboro Bridge,40884
2025-03-27,West 60th St,40397
2025-03-27,West Side Highway at 60th St,47371
2025-03-27,Williamsburg Bridge,41102
2025-03-28,Brooklyn Bridge,29488
2025-03-28,East 60th St,78781
2025-03-28,FDR Drive at 60th St,56011
2025-03-28,Holland Tunnel,42632
2025-03-28,Hugh L. Carey Tunnel,22382
2025-03-28,Lincoln Tunnel,46823
2025-03-28,Manhattan Bridge,31668
2025-03-28,Queens Midtown Tunnel,45407
2025-03-28,Queensboro Bridge,39757
2025-03-28,West 60th St,40357
2025-03-28,West Side Highway at 60th St,45744
2025-03-28,Williamsburg Bridge,42587
2025-03-29,Brooklyn Bridge,29921
2025-03-29,East 60th St,75209
2025-03-29,FDR Drive at 60th St,51673
2025-03-29,Holland Tunnel,44358
2025-03-29,Hugh L. Carey Tunnel,20347
2025-03-29,Lincoln Tunnel,51939
2025-03-29,Manhattan Bridge,30425
2025-03-29,Queens Midtown Tunnel,42785
2025-03-29,Queensboro Bridge,33240
2025-03-29,West 60th St,37871
2025-03-29,West Side Highway at 60th St,44255
2025-03-29,Williamsburg Bridge,42588
